Run_s,collection_day_s,description_s,nutrition_calcium_s,nutrition_calorie_s,nutrition_carb_s,nutrition_cholesterol_s,nutrition_fat_s,nutrition_fiber_s,nutrition_protein_s,nutrition_satfat_s,nutrition_sodium_s,nutrition_sugar_s
ERR531691,4,-100,963.6924996,2886.947506,392.7077019,169.8800049,113.4066237,41.56850028,83.02069914,24.47026513,2873.777537,233.6912485
ERR531692,41,-100,678.0690036,1784.288023,259.5011244,291.6399994,39.54096088,18.36655048,88.7637676,9.912693074,1723.32351,126.6060005
ERR531693,275,-101,0,0,0,0,0,0,0,0,0,0
ERR531694,128,-200,0,0,0,0,0,0,0,0,0,0
ERR531695,155,-200,0,0,0,0,0,0,0,0,0,0
ERR531696,231,-101,0,0,0,0,0,0,0,0,0,0
ERR531697,73,-101,0,0,0,0,0,0,0,0,0,0
ERR531698,220,-100,0,0,0,0,0,0,0,0,0,0
ERR531699,144,-101,658.9500008,3185.427521,529.9580338,270.1100006,51.37949972,28.62999976,117.3689992,15.39451,3316.510826,124.9595984
ERR531700,268,-100,0,0,0,0,0,0,0,0,0,0
ERR531701,230,-101,0,0,0,0,0,0,0,0,0,0
ERR531702,252,-100,0,0,0,0,0,0,0,0,0,0
ERR531703,75,-200,0,0,0,0,0,0,0,0,0,0
ERR531704,199,-101,284.6471004,2076.07861,365.9685173,111.4112167,49.51317573,29.86553228,51.15052938,18.76983231,3343.613245,174.4168646
ERR531705,241,-100,0,0,0,0,0,0,0,0,0,0
ERR531706,280,-100,0,0,0,0,0,0,0,0,0,0
ERR531707,274,-101,0,0,0,0,0,0,0,0,0,0
ERR531708,232,-200,0,0,0,0,0,0,0,0,0,0
ERR531709,192,-101,357.405,1827.430001,250.220401,75,60.78849977,42.39950038,56.09455109,13.15103,2420.204998,60.90674982
ERR531710,143,-101,1051.600001,1758.688736,267.1650829,265.830986,53.80240002,5.792000055,54.97879207,23.8214601,1363.83071,135.3029437
ERR531711,54,-100,840.2159998,1706.131999,279.8115599,49,54.08252,17.66240001,34.28535999,15.11128802,1501.836,148.86764
ERR531712,297,-101,0,0,0,0,0,0,0,0,0,0
ERR531713,240,-100,0,0,0,0,0,0,0,0,0,0
ERR531714,302,-100,0,0,0,0,0,0,0,0,0,0
ERR531715,59,-101,768.1940007,1736.282514,284.560031,224.6131378,38.72023148,11.18373787,54.73627801,13.18706151,1474.897407,181.3146788
ERR531716,96,-100,0,0,0,0,0,0,0,0,0,0
ERR531717,311,-101,0,0,0,0,0,0,0,0,0,0
ERR531718,256,-100,0,0,0,0,0,0,0,0,0,0
ERR531719,8,-100,782.9999981,2430.589999,439.2449999,192,42.32119989,30.58799973,75.63760006,12.29138004,1592.039999,207.2917957
ERR531720,190,-101,213.6849995,2447.020823,278.9228669,350.635,73.48554941,17.61450001,86.37865049,30.9472051,1893.568897,100.6743175
ERR531721,112,-200,0,0,0,0,0,0,0,0,0,0
ERR531722,37,-101,430.0250022,2073.639997,386.701802,27.5,37.02929981,31.28750069,63.69355161,12.87779,2200.545005,145.7777499
ERR531723,227,-100,0,0,0,0,0,0,0,0,0,0
ERR531724,209,-101,0,0,0,0,0,0,0,0,0,0
ERR531725,313,-101,0,0,0,0,0,0,0,0,0,0
ERR531726,174,-100,561.7700005,2692.47997,211.9057026,553.0199915,144.2727966,9.323000431,122.3271982,51.16932899,2409.250002,129.8770014
ERR531727,315,-100,0,0,0,0,0,0,0,0,0,0
ERR531728,305,-101,0,0,0,0,0,0,0,0,0,0
ERR531729,180,-100,534.7399998,1802.37,239,122.5,70.0474,6.5,60.78439999,18.25474,1772.24,133.75
ERR531730,23,-200,0,0,0,0,0,0,0,0,0,0
ERR531731,7,-200,0,0,0,0,0,0,0,0,0,0
ERR531732,135,-100,897.1849966,1611.108536,205.9121056,292.4199963,40.85067487,12.76407702,104.3941342,13.19184267,1002.226677,119.9804865
ERR531733,98,-101,0,0,0,0,0,0,0,0,0,0
ERR531734,186,-100,444.2199993,1522.125096,215.7289944,127.3000031,46.14740038,13.20000005,62.5746007,18.05474019,2526.962265,112.2154922
ERR531735,163,-200,0,0,0,0,0,0,0,0,0,0
ERR531736,199,-100,284.6471004,2076.07861,365.9685173,111.4112167,49.51317573,29.86553228,51.15052938,18.76983231,3343.613245,174.4168646
ERR531737,178,-200,0,0,0,0,0,0,0,0,0,0
ERR531738,292,-101,0,0,0,0,0,0,0,0,0,0
ERR531739,172,-100,412.6399999,1477.820004,214.7043011,260,54.0186,23.06600001,53.90950012,16.56557,1679.78,92.7395
ERR531740,209,-100,0,0,0,0,0,0,0,0,0,0
ERR531741,184,-200,0,0,0,0,0,0,0,0,0,0
ERR531742,35,-101,1021.290022,2822.630029,294.6139062,167.8000031,133.6330008,6.674000084,89.68880112,17.34889,1928.420012,151.908603
